sample_idx,phenotype,T1_Pred,T1_True,T2_Pred,T2_True,T3_Pred,T3_True,T4_Pred,T4_True,T5_Pred,T5_True,T6_Pred,T6_True,T7_Pred,T7_True,T8_Pred,T8_True,T9_Pred,T9_True,T10_Pred,T10_True,T11_Pred,T11_True,T12_Pred,T12_True,T13_Pred,T13_True,T14_Pred,T14_True,T15_Pred,T15_True
0,sim_pheno,1.3522318601608276,1.1480587720870972,2.040104627609253,1.8519209623336792,3.1178462505340576,2.9452626705169678,4.677791595458984,4.583863258361816,6.873322486877441,6.912425994873047,9.83995532989502,9.983060836791992,13.48713493347168,13.656188011169434,17.421398162841797,17.57060432434082,21.047319412231445,21.260555267333984,24.082286834716797,24.357837677001953,26.397138595581055,26.71428680419922,28.02232551574707,28.37649917602539,29.10065269470215,29.4874324798584,29.76849365234375,30.203401565551758,30.178495407104492,30.65406608581543
1,sim_pheno,1.1187418699264526,0.8247965574264526,1.7349032163619995,1.4283055067062378,2.7507264614105225,2.437753438949585,4.239386558532715,4.062679290771484,6.356856346130371,6.5235185623168945,9.197039604187012,9.926088333129883,12.67821979522705,14.083101272583008,16.570627212524414,18.45770835876465,20.28007698059082,22.39447593688965,23.380096435546875,25.4686279296875,25.76743507385254,27.613834381103516,27.492298126220703,28.99599838256836,28.687820434570312,29.841291427612305,29.49205207824707,30.341869354248047,30.022363662719727,30.632671356201172
2,sim_pheno,1.022621989250183,1.3274163007736206,1.7010725736618042,2.0381124019622803,2.76975417137146,3.0917766094207764,4.30937385559082,4.608214378356934,6.466856002807617,6.699934005737305,9.358989715576172,9.422285079956055,12.90980339050293,12.709409713745117,16.745731353759766,16.33733558654785,20.389806747436523,19.964920043945312,23.457782745361328,23.251150131225586,25.820133209228516,25.972339630126953,27.5299129486084,28.062904357910156,28.73853302001953,29.578365325927734,29.556825637817383,30.63128089904785,30.124353408813477,31.341440200805664
3,sim_pheno,1.006168246269226,1.3434208631515503,1.639480471611023,2.048084020614624,2.6891496181488037,3.084559202194214,4.220639228820801,4.564281463623047,6.345114707946777,6.589255332946777,9.143448829650879,9.205602645874023,12.59749698638916,12.345972061157227,16.455049514770508,15.798534393310547,20.1680850982666,19.24651527404785,23.274887084960938,22.374774932861328,25.66873550415039,24.975276947021484,27.42585563659668,26.984407424926758,28.668502807617188,28.450578689575195,29.463491439819336,29.476573944091797,29.89078712463379,30.173646926879883
4,sim_pheno,1.9987810850143433,1.1404780149459839,2.5847480297088623,1.8315361738204956,3.5390737056732178,2.9027249813079834,4.974331855773926,4.508674621582031,7.054975509643555,6.799849510192871,9.931195259094238,9.847527503967285,13.565093040466309,13.54472541809082,17.490650177001953,17.559846878051758,21.265233993530273,21.42842674255371,24.495250701904297,24.74907112121582,27.038061141967773,27.328218460083008,28.941221237182617,29.180204391479492,30.2847957611084,30.436386108398438,31.185482025146484,31.25584602355957,31.73737907409668,31.77689552307129
5,sim_pheno,1.078410029411316,1.0265320539474487,1.6694105863571167,1.6715811491012573,2.6816823482513428,2.6803205013275146,4.165552139282227,4.197371482849121,6.246254920959473,6.349913597106934,8.996134757995605,9.164872169494629,12.336732864379883,12.477813720703125,16.04201316833496,15.925742149353027,19.5729923248291,19.084110260009766,22.480085372924805,21.656402587890625,24.702816009521484,23.558189392089844,26.298004150390625,24.86602210998535,27.446853637695312,25.721233367919922,28.22306251525879,26.26219940185547,28.778186798095703,26.597230911254883
6,sim_pheno,0.6899899244308472,0.6840418577194214,1.2333563566207886,1.1852473020553589,2.1509358882904053,2.0224997997283936,3.5240418910980225,3.3657948970794678,5.465456962585449,5.387419700622559,8.075164794921875,8.154743194580078,11.305482864379883,11.488987922668457,14.846464157104492,14.940289497375488,18.280385971069336,17.99431800842285,21.23011016845703,20.3438663482666,23.526729583740234,21.96418571472168,25.189573287963867,22.999126434326172,26.325653076171875,23.628149032592773,27.03130531311035,23.998987197875977,27.407312393188477,24.21369743347168
7,sim_pheno,1.7255104780197144,1.4085701704025269,2.3781144618988037,2.1907832622528076,3.4192283153533936,3.3642547130584717,4.947333335876465,5.0700225830078125,7.115090370178223,7.439178466796875,10.054020881652832,10.529747009277344,13.751121520996094,14.247602462768555,17.72466468811035,18.30780792236328,21.50658416748047,22.299291610717773,24.74687957763672,25.837522506713867,27.317344665527344,28.697599411010742,29.198070526123047,30.842002868652344,30.51691436767578,32.36086654663086,31.414419174194336,33.39381408691406,32.019317626953125,34.077030181884766
8,sim_pheno,1.7706469297409058,1.032042384147644,2.2871978282928467,1.700102686882019,3.194910764694214,2.762882947921753,4.586485862731934,4.395829200744629,6.61750602722168,6.775474548339844,9.405577659606934,9.98872184753418,12.896857261657715,13.908327102661133,16.81212615966797,18.137720108032227,20.579444885253906,22.138158798217773,23.79068374633789,25.47735595703125,26.34084701538086,27.98577880859375,28.20732307434082,29.724903106689453,29.487953186035156,30.864673614501953,30.350116729736328,31.584341049194336,30.89170265197754,32.02811813354492
9,sim_pheno,1.1717480421066284,1.1831940412521362,1.8307503461837769,1.9093073606491089,2.8923614025115967,3.033649206161499,4.438601493835449,4.7079973220825195,6.609649658203125,7.061895370483398,9.514385223388672,10.11662769317627,13.098104476928711,13.694047927856445,16.962417602539062,17.412708282470703,20.585195541381836,20.828569412231445,23.628759384155273,23.62783432006836,25.992685317993164,25.71500015258789,27.711416244506836,27.16415786743164,28.913253784179688,28.121240615844727,29.706369400024414,28.73262596130371,30.228792190551758,29.114906311035156
